team_id,team_name,team_label
209,Sri Lanka Board Presidents XI,SLBPX
210,Madhya Pradesh,MP
211,Bangladesh A,BA
212,Eagles,E
213,Wayamba,W
214,Zimbabwe A,ZA
215,Western Province,WP
216,Border,B
217,Bijapur Bulls,BB
218,Mpumalanga Under-13s,MU
219,Karnataka Under-19s,KU
220,University of West Indies Vice Chancellors XI,UoWIVCX
221,Devon,D
222,Gauteng Under-19s,GU
223,Khelaghar Samaj Kallyan Samity,KSKS
224,Brisbane Heat,BH
225,Canterbury Women,CW
226,Manipur,M
227,South Australia Women,SAW
228,KwaZulu-Natal Under-13s,KU
229,United Bank Limited,UBL
230,Habib Bank Limited,HBL
231,Boland Under-13s,BU
232,Peshawar,P
233,Guyana Amazon Warriors,GAW
234,Limpopo Under-17s,LU
235,Hampshire 2nd XI,H2X
236,Canada Under-19s,CU
237,Cumberland,C
238,Derbyshire,D
239,Uttar Pradesh Under-19s,UPU
240,Gauteng Under-15s,GU
241,Chhattisgarh,C
242,KwaZulu-Natal Inland Under-17s,KIU
243,Lancashire 2nd XI,L2X
244,Goa Under-19s,GU
245,Tamil Nadu Under-19s,TNU
246,Sialkot,S
247,Derbyshire 2nd XI,D2X
248,New Zealand Under-19s,NZU
249,National Bank of Pakistan,NBoP
250,Mannar-Vavuniya Combined Schools,MCS
251,Ruhuna,R
252,Asia XI,AX
253,Transvaal,T
254,Worcestershire Cricket Board,WCB
255,Lankan Cricket Club,LCC
256,Europeans (India),E(
257,Goa,G
258,Zimbabwe,Z
259,Derbyshire Cricket Board,DCB
260,Pakistan,P
261,Essex Under-17s,EU
262,Australia,A
263,Bihar,B
264,Odisha,O
265,Victoria Under-17s,VU
266,Sussex Cricket Board,SCB
267,Minor Counties,MC
268,Philadelphians,P
269,Peshawar Zalmi,PZ
270,Australian Capital Territory Under-19s,ACTU
271,Lahore Division,LD
272,South Western Districts Under-19s,SWDU
273,Queensland Under-17s,QU
274,Northern Transvaal,NT
275,Kurunegala Youth Cricket Club Women,KYCCW
276,Pakistan Women,PW
277,Western Australia Under-17s,WAU
278,Cambridge MCCU,CM
279,Wellington,W
280,Sri Lanka Under-19s,SLU
281,Eastern Province Under-17s,EPU
282,Islamabad United,IU
283,Durham,D
284,Saurashtra Under-19s,SU
285,Shropshire,S
286,Nepal Women,NW
287,South Australia,SA
288,Bahawalpur Stags,BS
289,Easterns,E
290,Schools Invitation XI,SIX
291,Delhi Under-16s,DU
292,Wesley College,WC
293,Matabeleland,M
294,Western Australia,WA
295,Middlesex,M
296,Abahani Limited,AL
297,Bengal Under-19s,BU
298,Pakistan Under-19s,PU
299,Kochi Tuskers Kerala,KTK
300,Australian Capital Territory Women,ACTW
301,North West Under-13s,NWU
302,New South Wales Under-19s,NSWU
303,Kandurata,K
304,Australia A,AA
305,Western Transvaal,WT
306,South Western Districts Under-17s,SWDU
307,Yorkshire Under-17s,YU
308,Sui Northern Gas Pipelines Limited,SNGPL
309,Speen Ghar Region,SGR
310,Sussex,S
311,Sri Lanka Air Force Sports Club,SLAFSC
312,Madhya Pradesh Under-19s,MPU
313,Ananda College,AC
314,Centrals,C
315,Vidarbha,V
316,Dhaka Gladiators,DG
317,Saurashtra,S
318,Westerns,W
319,Malaysia Women,MW
320,Dorset,D
321,Border Under-17s,BU
322,Central Districts,CD
